timestamp,customer_id,assignment,stratum,tenure_group,revenue_tier,tenure_months,monthly_charges
2026-02-28T18:06:45.000484,MTM_0001,0,established_high,established,high,18,87.90070749907306
2026-02-28T18:06:45.003865,MTM_0002,3,established_high,established,high,11,81.45626428614796
2026-02-28T18:06:45.005742,MTM_0003,6,established_high,established,high,9,96.20379932420407
2026-02-28T18:06:45.006596,MTM_0004,5,early_high,early,high,3,80.54140702235685
2026-02-28T18:06:45.007460,MTM_0005,2,established_high,established,high,7,94.02508342979982
2026-02-28T18:06:45.008170,MTM_0006,3,established_low,established,low,11,56.73228115553091
2026-02-28T18:06:45.009947,MTM_0007,5,established_low,established,low,18,46.08829257196193
2026-02-28T18:06:45.012425,MTM_0008,5,early_high,early,high,5,98.41983020531904
2026-02-28T18:06:45.014062,MTM_0009,2,established_low,established,low,20,49.64848308504992
2026-02-28T18:06:45.015140,MTM_0010,4,established_high,established,high,20,69.1368252151736
2026-02-28T18:06:45.015990,MTM_0011,2,early_high,early,high,5,79.11767557015604
2026-02-28T18:06:45.017779,MTM_0012,0,established_low,established,low,11,50.555515160640724
2026-02-28T18:06:45.021799,MTM_0013,4,early_low,early,low,6,54.23494524980801
2026-02-28T18:06:45.024258,MTM_0014,3,established_high,established,high,16,75.39225085363263
2026-02-28T18:06:45.025943,MTM_0015,7,established_high,established,high,8,63.58586348000563
2026-02-28T18:06:45.027512,MTM_0016,0,established_high,established,high,24,94.36592726311324
2026-02-28T18:06:45.029286,MTM_0017,2,early_high,early,high,4,61.00470446168054
2026-02-28T18:06:45.030804,MTM_0018,6,early_high,early,high,3,74.61423307758155
2026-02-28T18:06:45.031530,MTM_0019,5,early_low,early,low,3,51.71457926788267
2026-02-28T18:06:45.032188,MTM_0020,4,established_low,established,low,18,56.846341746451344
2026-02-28T18:06:45.032837,MTM_0021,0,early_high,early,high,5,86.11324085837853
2026-02-28T18:06:45.035454,MTM_0022,7,established_high,established,high,19,99.67303064784046
2026-02-28T18:06:45.036313,MTM_0023,6,established_high,established,high,16,94.89186341322691
2026-02-28T18:06:45.039543,MTM_0024,3,early_high,early,high,5,84.86312643384484
2026-02-28T18:06:45.040472,MTM_0025,1,established_high,established,high,7,95.69911375526353
2026-02-28T18:06:45.042388,MTM_0026,1,established_high,established,high,19,73.1658980101294
2026-02-28T18:06:45.049382,MTM_0027,1,early_high,early,high,5,98.81989502296274
2026-02-28T18:06:45.052977,MTM_0028,4,established_low,established,low,22,57.66693352417514
2026-02-28T18:06:45.055228,MTM_0029,7,established_low,established,low,23,51.45466186902076
2026-02-28T18:06:45.062393,MTM_0030,7,early_low,early,low,3,59.01532030937666
2026-02-28T18:06:45.063287,MTM_0031,2,established_high,established,high,20,73.40807574750102
2026-02-28T18:06:45.065492,MTM_0032,5,established_high,established,high,24,81.76178780049838
2026-02-28T18:06:45.067292,MTM_0033,6,established_low,established,low,10,44.22496785097263
2026-02-28T18:06:45.070034,MTM_0034,5,established_high,established,high,20,76.90043360195018
2026-02-28T18:06:45.071023,MTM_0035,4,established_high,established,high,24,61.51880687776983
2026-02-28T18:06:45.072038,MTM_0036,6,established_high,established,high,12,92.64238431567733
2026-02-28T18:06:45.072795,MTM_0037,5,established_high,established,high,9,70.09097768123198
2026-02-28T18:06:45.073484,MTM_0038,5,established_low,established,low,15,51.65643721072254
2026-02-28T18:06:45.074253,MTM_0039,2,established_high,established,high,10,82.11801263546221
2026-02-28T18:06:45.074993,MTM_0040,0,established_low,established,low,18,43.046111862363816
2026-02-28T18:06:45.077572,MTM_0041,1,established_high,established,high,21,60.27970941109215
2026-02-28T18:06:45.079011,MTM_0042,0,early_low,early,low,4,45.63891639045214
2026-02-28T18:06:45.079857,MTM_0043,6,established_low,established,low,24,59.68916004848391
2026-02-28T18:06:45.080629,MTM_0044,6,established_high,established,high,24,75.44999563414065
2026-02-28T18:06:45.082137,MTM_0045,2,established_low,established,low,24,55.01508163095184
2026-02-28T18:06:45.088205,MTM_0046,7,established_high,established,high,12,89.3560336395795
2026-02-28T18:06:45.092066,MTM_0047,1,established_high,established,high,24,72.22494563179933
2026-02-28T18:06:45.093961,MTM_0048,0,established_high,established,high,7,71.33459560328826
2026-02-28T18:06:45.095526,MTM_0049,3,established_low,established,low,23,56.29257494918451
2026-02-28T18:06:45.097258,MTM_0050,4,established_high,established,high,14,77.37342854914002
2026-02-28T18:06:45.104749,MTM_0051,7,early_high,early,high,6,90.52138450071888
2026-02-28T18:06:45.106477,MTM_0052,3,established_high,established,high,22,64.68123430340071
2026-02-28T18:06:45.108487,MTM_0053,6,early_high,early,high,5,78.2457940898924
2026-02-28T18:06:45.110150,MTM_0054,1,established_low,established,low,22,47.96472533457819
2026-02-28T18:06:45.111393,MTM_0055,2,established_high,established,high,20,70.97802089807172
2026-02-28T18:06:45.119286,MTM_0056,5,established_high,established,high,21,87.71117168612221
2026-02-28T18:06:45.121093,MTM_0057,4,established_high,established,high,21,66.33828524233817
2026-02-28T18:06:45.122838,MTM_0058,7,established_low,established,low,7,51.0600204598822
2026-02-28T18:06:45.123673,MTM_0059,7,established_high,established,high,11,81.30999404592198
