timestamp,customer_id,assignment,stratum,tenure_group,revenue_tier,tenure_months,monthly_charges
2026-02-27T13:39:01.377708,MTM_0001,0,established_high,established,high,18,87.90070749907306
2026-02-27T13:39:01.380539,MTM_0002,3,established_high,established,high,11,81.45626428614796
2026-02-27T13:39:01.382503,MTM_0003,6,established_high,established,high,9,96.20379932420407
2026-02-27T13:39:01.386237,MTM_0004,5,early_high,early,high,3,80.54140702235685
2026-02-27T13:39:01.389616,MTM_0005,2,established_high,established,high,7,94.02508342979982
2026-02-27T13:39:01.390393,MTM_0006,3,established_low,established,low,11,56.73228115553091
2026-02-27T13:39:01.394104,MTM_0007,5,established_low,established,low,18,46.08829257196193
2026-02-27T13:39:01.395927,MTM_0008,5,early_high,early,high,5,98.41983020531904
2026-02-27T13:39:01.397455,MTM_0009,2,established_low,established,low,20,49.64848308504992
2026-02-27T13:39:01.398801,MTM_0010,4,established_high,established,high,20,69.1368252151736
2026-02-27T13:39:01.400197,MTM_0011,2,early_high,early,high,5,79.11767557015604
2026-02-27T13:39:01.404120,MTM_0012,0,established_low,established,low,11,50.555515160640724
2026-02-27T13:39:01.406409,MTM_0013,4,early_low,early,low,6,54.23494524980801
2026-02-27T13:39:01.407734,MTM_0014,3,established_high,established,high,16,75.39225085363263
2026-02-27T13:39:01.409074,MTM_0015,7,established_high,established,high,8,63.58586348000563
2026-02-27T13:39:01.410228,MTM_0016,0,established_high,established,high,24,94.36592726311324
2026-02-27T13:39:01.411102,MTM_0017,2,early_high,early,high,4,61.00470446168054
2026-02-27T13:39:01.413210,MTM_0018,6,early_high,early,high,3,74.61423307758155
2026-02-27T13:39:01.420389,MTM_0019,5,early_low,early,low,3,51.71457926788267
2026-02-27T13:39:01.422010,MTM_0020,4,established_low,established,low,18,56.846341746451344
2026-02-27T13:39:01.423266,MTM_0021,0,early_high,early,high,5,86.11324085837853
2026-02-27T13:39:01.423990,MTM_0022,7,established_high,established,high,19,99.67303064784046
2026-02-27T13:39:01.424926,MTM_0023,6,established_high,established,high,16,94.89186341322691
2026-02-27T13:39:01.425833,MTM_0024,3,early_high,early,high,5,84.86312643384484
2026-02-27T13:39:01.430244,MTM_0025,1,established_high,established,high,7,95.69911375526353
2026-02-27T13:39:01.431802,MTM_0026,1,established_high,established,high,19,73.1658980101294
2026-02-27T13:39:01.433913,MTM_0027,1,early_high,early,high,5,98.81989502296274
2026-02-27T13:39:01.436234,MTM_0028,4,established_low,established,low,22,57.66693352417514
2026-02-27T13:39:01.436983,MTM_0029,7,established_low,established,low,23,51.45466186902076
2026-02-27T13:39:01.438137,MTM_0030,7,early_low,early,low,3,59.01532030937666
2026-02-27T13:39:01.439015,MTM_0031,2,established_high,established,high,20,73.40807574750102
2026-02-27T13:39:01.442566,MTM_0032,5,established_high,established,high,24,81.76178780049838
2026-02-27T13:39:01.443822,MTM_0033,6,established_low,established,low,10,44.22496785097263
2026-02-27T13:39:01.445308,MTM_0034,5,established_high,established,high,20,76.90043360195018
2026-02-27T13:39:01.446719,MTM_0035,4,established_high,established,high,24,61.51880687776983
2026-02-27T13:39:01.447686,MTM_0036,6,established_high,established,high,12,92.64238431567733
2026-02-27T13:39:01.448492,MTM_0037,5,established_high,established,high,9,70.09097768123198
2026-02-27T13:39:01.449610,MTM_0038,5,established_low,established,low,15,51.65643721072254
2026-02-27T13:39:01.450263,MTM_0039,2,established_high,established,high,10,82.11801263546221
2026-02-27T13:39:01.451011,MTM_0040,0,established_low,established,low,18,43.046111862363816
2026-02-27T13:39:01.451729,MTM_0041,1,established_high,established,high,21,60.27970941109215
2026-02-27T13:39:01.453727,MTM_0042,0,early_low,early,low,4,45.63891639045214
2026-02-27T13:39:01.454828,MTM_0043,6,established_low,established,low,24,59.68916004848391
2026-02-27T13:39:01.455590,MTM_0044,6,established_high,established,high,24,75.44999563414065
2026-02-27T13:39:01.456569,MTM_0045,2,established_low,established,low,24,55.01508163095184
2026-02-27T13:39:01.457629,MTM_0046,7,established_high,established,high,12,89.3560336395795
2026-02-27T13:39:01.460708,MTM_0047,1,established_high,established,high,24,72.22494563179933
2026-02-27T13:39:01.461522,MTM_0048,0,established_high,established,high,7,71.33459560328826
2026-02-27T13:39:01.464547,MTM_0049,3,established_low,established,low,23,56.29257494918451
2026-02-27T13:39:01.465925,MTM_0050,4,established_high,established,high,14,77.37342854914002
2026-02-27T13:39:01.467976,MTM_0051,7,early_high,early,high,6,90.52138450071888
2026-02-27T13:39:01.468770,MTM_0052,3,established_high,established,high,22,64.68123430340071
2026-02-27T13:39:01.469359,MTM_0053,6,early_high,early,high,5,78.2457940898924
2026-02-27T13:39:01.469918,MTM_0054,1,established_low,established,low,22,47.96472533457819
2026-02-27T13:39:01.470461,MTM_0055,2,established_high,established,high,20,70.97802089807172
2026-02-27T13:39:01.471138,MTM_0056,5,established_high,established,high,21,87.71117168612221
2026-02-27T13:39:01.473371,MTM_0057,4,established_high,established,high,21,66.33828524233817
2026-02-27T13:39:01.474814,MTM_0058,7,established_low,established,low,7,51.0600204598822
2026-02-27T13:39:01.475574,MTM_0059,7,established_high,established,high,11,81.30999404592198
2026-02-27T13:39:01.476218,MTM_0060,2,early_low,early,low,3,50.39765920425074
2026-02-27T13:39:01.477129,MTM_0061,1,early_high,early,high,3,66.54113378386627
2026-02-27T13:39:01.477739,MTM_0062,3,established_high,established,high,24,82.87575536200374
2026-02-27T13:39:01.478561,MTM_0063,0,established_high,established,high,10,96.07683984038259
2026-02-27T13:39:01.479238,MTM_0064,4,early_high,early,high,3,97.29191683979164
2026-02-27T13:39:01.480126,MTM_0065,0,established_high,established,high,9,79.42667971001
2026-02-27T13:39:01.482485,MTM_0066,3,established_high,established,high,16,98.77063171729051
